instance_id,course_code,course_name,ects_credits,provider,start_date,end_date,instructor_name,instructor_email,location,description,enrollment
1,WE301-3A4E52,Web Engineering,5,TU Chemnitz,2025-10-01,2026-02-28,Prof. Dr. Gaedke,gaedke@tu-chemnitz.de,Room A101,Introduction to web technologies,40
2,TUC-PHIL-102-E465FA,Robotics Basics,12,TU Chemnitz,2024-09-25,2025-01-25,Dr. Hassan Petrov,hassan.petrov@tu-chemnitz.de,Auditorium Maximum,"Graduate-level seminar on robotics basics. Students will read papers, complete assignments and present a project.",38
3,TUC-LING-101-A3DC73,Cognitive Psychology,6,TU Chemnitz,2024-02-16,2024-05-16,Dr. Mei Wagner,mei.wagner@tu-chemnitz.de,Room 3.08,"Cognitive Psychology is an undergraduate course exploring foundational topics, modern techniques and case studies.",214
4,TUC-ENV-103-BA82E2,Cell Biology,9,TU Chemnitz,2024-11-26,2025-03-26,Prof. Dr. Lucia Weber,lucia.weber@tu-chemnitz.de,Sala Multimedia,Foundational survey of cell biology. Prerequisites include basic math and programming proficiency.,238
5,TUC-ENG-108-50FC94,Cloud Computing Seminar 108,10,TU Chemnitz,,2024-12-02,Prof. Dr. Yuki Marino,yuki.marino@tu-chemnitz.de,Lecture Hall B,"An advanced module covering theory and practice in cloud computing seminar 108, with emphasis on real-world applications.",132
6,TUC-CS-104-C5ABD3,Cryptography Basics,10,TU Chemnitz,2024-12-25,2025-05-25,Prof. Dr. Elena Rizzo,elena.rizzo@tu-chemnitz.de,Room 2.15,"An advanced module covering theory and practice in cryptography basics, with emphasis on real-world applications.",51
7,TUC-PSY-101-8A89C1,Microeconomics,12,TU Chemnitz,2023-03-09,2023-06-09,Prof. Dr. Hannah Gómez,hannah.gomez@tu-chemnitz.de,Chemistry Lab B,"This course introduces students to the core concepts of microeconomics through lectures, exercises and a final project.",214
8,TUC-MATH-105-5050CE,Pharmacology,9,TU Chemnitz,2024-07-22,2024-10-22,Prof. Dr. Lucia Ruiz,lucia.ruiz@tu-chemnitz.de,Lecture Hall A,"This course introduces students to the core concepts of pharmacology through lectures, exercises and a final project.",52
9,TUC-EDU-108-842285,Biochemistry Workshop 108,12,TU Chemnitz,2025-02-09,2025-05-09,Prof. Dr. Lucia Novak,Chemistry Lab B,,"This course introduces students to the core concepts of biochemistry workshop 108 through lectures, exercises and a final project.",57
10,TUC-PHYS-101-A627B1,Developmental Psychology,8,TU Chemnitz,2023-09-09,2024-01-09,Dr. Marco Schulz,marco.schulz@tu-chemnitz.de,Aula 1B,"Developmental Psychology is an undergraduate course exploring foundational topics, modern techniques and case studies.",127
11,TUC-CHEM-100-91DEAF,Neuroscience,6,TU Chemnitz,2024-05-21,2024-09-21,Dr. Fatima Mancini,fatima.mancini@tu-chemnitz.de,Computer Lab 3,"This course introduces students to the core concepts of neuroscience through lectures, exercises and a final project.",221
12,TUC-MUSIC-111-0DF045,Ecology Advanced 111,10,TU Chemnitz,2023-10-03,2024-01-03,Prof. Dr. Sarah Schmitz,sarah.schmitz@tu-chemnitz.de,Sala Riunioni,,88
13,TUC-MUSIC-112-0A5E53,Graph Theory,9,TU Chemnitz,2025-07-03,2025-11-03,Prof. Dr. Michael Schäfer,michael.schaefer@tu-chemnitz.de,Computer Lab 3,"This course introduces students to the core concepts of graph theory through lectures, exercises and a final project.",152
14,TUC-BUS-103-8BE375,Modern Architecture,8,TU Chemnitz,2023-08-17,2023-12-17,Dr. Bernd Meyer,bernd.meyer@tu-chemnitz.de,Room 2.15,Foundational survey of modern architecture. Prerequisites include basic math and programming proficiency.,179
15,TUC-MED-112-32F9C5,Mathematical Logic Advanced 112,6,TU Chemnitz,2025-05-07,2025-11-07,X,robert.krause@tu-chemnitz.de,Sala Multimedia,"Mathematical Logic Advanced 112 is an undergraduate course exploring foundational topics, modern techniques and case studies.",90
16,TUC-PSY-102-CB5D0C,Industrial Organization,5,TU Chemnitz,2025-11-14,2026-04-14,Prof. Dr. Felix Sánchez,felix.sanchez@tu-chemnitz.de,Chemistry Lab B,"Industrial Organization is an undergraduate course exploring foundational topics, modern techniques and case studies.",132
17,TUC-ECON-108-4CFF40,Software Testing Lab 108,6,TU Chemnitz,2025-11-01,,Prof. Dr. Ahmed Rizzo,ahmed.rizzo@tu-chemnitz.de,Computer Lab 3,Foundational survey of software testing lab 108. Prerequisites include basic math and programming proficiency.,189
18,TUC-ARCH-103-DB1A41,Renaissance Studies,4,TU Chemnitz,2025-12-22,2026-05-22,Dr. Stefan Fernández,stefan.fernandez@tu-chemnitz.de,Room 2.15,"Renaissance Studies is an undergraduate course exploring foundational topics, modern techniques and case studies.",135
19,TUC-CS-102-DBB4D0,Machine Learning,4,TU Chemnitz,2024-05-08,2024-08-08,Prof. Dr. Markus Schäfer,markus.schaefer@tu-chemnitz.de,Seminar Room 205,"Graduate-level seminar on machine learning. Students will read papers, complete assignments and present a project.",211
20,TUC-EDU-105-8E442B,International Law Workshop 105,12,TU Chemnitz,2025-07-14,2025-11-14,Prof. Dr. Andreas Fernández,andreas.fernandez@tu-chemnitz.de,Online (Zoom),Foundational survey of international law workshop 105. Prerequisites include basic math and programming proficiency.,232
21,TUC-LAW-109-F9822B,Computer Networks Seminar 109,3,TU Chemnitz,2025-06-04,2025-10-04,Prof. Dr. Diego Martínez,diego.martinez@tu-chemnitz.de,Aula M.5,"An advanced module covering theory and practice in computer networks seminar 109, with emphasis on real-world applications.",91
22,TUC-PSY-105-4F159B,Optics Workshop 105,4,TU Chemnitz,1995-09-01,1996-01-01,Prof. Dr. Yuki Bruno,yuki.bruno@tu-chemnitz.de,Aula 4.02,"Optics Workshop 105 is an undergraduate course exploring foundational topics, modern techniques and case studies.",207
23,TUC-PHIL-107-128A60,Criminal Law Seminar 107,6,TU Chemnitz,2023-03-17,2023-08-17,Prof. Dr. Julia De Luca,julia.de luca@tu-chemnitz.de,Building C - 305,"Criminal Law Seminar 107 is an undergraduate course exploring foundational topics, modern techniques and case studies.",239
24,TUC-ECE-106-74D519,Computational Linguistics Seminar 106,6,TU Chemnitz,2024-01-18,2024-07-18,Prof. Dr. Matteo Neumann,matteo.neumann@tu-chemnitz.de,Lecture Hall B,"Computational Linguistics Seminar 106 is an undergraduate course exploring foundational topics, modern techniques and case studies.",180
25,TUC-EDU-106-13922C,Compiler Construction Workshop 106,8,TU Chemnitz,2024-04-24,2024-10-24,Prof. Dr. Ute Schmitt,ute.schmitt@tu-chemnitz.de,Computer Lab 7,"An advanced module covering theory and practice in compiler construction workshop 106, with emphasis on real-world applications.",5000
26,TUC-PHYS-112-D2BD7A,Software Testing Seminar 112,10,TU Chemnitz,2024-06-01,2024-12-01,Prof. Dr. Alex Martínez,alex.martinez@tu-chemnitz.de,Online (Zoom),"An advanced module covering theory and practice in software testing seminar 112, with emphasis on real-world applications.",110
27,TUC-BUS-108-A5639D,Functional Programming Lab 108,12,TU Chemnitz,2024-04-03,2024-10-03,Al,pablo.hernandez@tu-chemnitz.de,Polo Umanistico B,"Graduate-level seminar on functional programming lab 108. Students will read papers, complete assignments and present a project.",45
28,TUC-ENG-106-FC157E,Linear Algebra Seminar 106,8,TU Chemnitz,2025-01-06,2025-07-06,Prof. Dr. Marco Bianchi,marco.bianchi@tu-chemnitz.de,Room 2.15,"An advanced module covering theory and practice in linear algebra seminar 106, with emphasis on real-world applications.",1200
29,TUC-PHYS-116-AAEFCB,Object Oriented Design Lab 116,60,TU Chemnitz,2023-12-26,2024-03-26,Prof. Dr. Lena De Luca,lena.de luca@tu-chemnitz.de,Seminar Room 205,"Object Oriented Design Lab 116 is an undergraduate course exploring foundational topics, modern techniques and case studies.",213
30,TUC-INFO-110-2166DF,Virtual Reality Workshop 110,50,TU Chemnitz,1998-04-10,1998-04-10,Prof. Dr. Christina Krause,christina.krause@tu-chemnitz.de,Physics Lab A,"Virtual Reality Workshop 110 is an undergraduate course exploring foundational topics, modern techniques and case studies.",150
